Key,Item Type,Author,Title,Publication Title,Publication Year,Volume,Issue,Pages,DOI,ISSN,ISBN,Url,Publisher
2PHY5J39,journalArticle,"Sun, X.; Yuan, Z.; Kong, X.; Xue, L.; Cheng, H.; Chen, Z.",An Efficient Federated Learning Framework for Enhancing Data Diversity and Communication in Industrial IoT Fault Diagnosis,IEEE Internet of Things Journal,2025,12,17,36562–36576,10.1109/JIOT.2025.3583081,,,https://www.scopus.com/pages/publications/105010606708?origin=resultslist,
34Z6ZW3P,conferencePaper,"Nguyen Duy, D.; Nikzad-Langerodi, R.; Affenzeller, M.",VFLBench: A Practical Benchmark for Vertical Federated Learning in Smart Manufacturing,,2025,15172 LNCS,,45–52,10.1007/978-3-031-82949-9_5,,,https://www.scopus.com/pages/publications/105004254871?origin=resultslist,
36MI3LMS,journalArticle,"Moe, Sa Jim Soe; Khan, Anam Nawaz; Nguyen, Anh Tuan; Kim, Do Hyeun",Optimizing Federated Learning based on Weighted Hyperparameter Aggregation in Energy-constrained Building Construction,Cluster Computing,2026,29,3,,10.1007/s10586-025-05908-7,1573-7543,,http://dx.doi.org/10.1007/s10586-025-05908-7,Springer Science and Business Media LLC
2CFTQT87,conferencePaper,"Aladwani, T.; Pantazi-Kypraiou, M.; Goudroumanis, G.R.; Axelou, O.; Floros, G.; Anagnostopoulos, C.",Decentralized Deep Learning for Lithographic Hotspot Detection in IC Design,,2025,,,469–473,10.1109/ICDCSW63273.2025.00093,,,https://www.scopus.com/pages/publications/105030464995?origin=resultslist,
2HQWFCWQ,journalArticle,"Cao, K.; Cui, Y.; Xu, R.; Sun, Y.; Liu, Z.; Tan, C.",Personalized Federated Learning for Green Industrial IoT,IEEE Transactions on Industrial Informatics,2025,21,8,6114–6125,10.1109/TII.2025.3558340,,,https://www.scopus.com/pages/publications/105004640675?origin=resultslist,
2THEEY5F,journalArticle,"Wan, Xiaole; Yang, Dongqian; Wang, Tongtong; Deveci, Muhammet",Closed-loop supply chain decision considering information reliability and security: should the supply chain adopt federated learning decision support systems?,Annals of Operations Research,2023,349,1,169–205,10.1007/s10479-023-05477-1,1572-9338,,http://dx.doi.org/10.1007/s10479-023-05477-1,Springer Science and Business Media LLC
2MA9B8KT,journalArticle,"Yang, Chun; Ma, Yining",Secure aggregation for heterogeneous enterprise data based on federated meta-learning,Scientific Reports,2026,16,1,,10.1038/s41598-025-34735-4,2045-2322,,http://dx.doi.org/10.1038/s41598-025-34735-4,Springer Science and Business Media LLC
2L7F52DC,conferencePaper,X. Cao; N. Chen; X. Yuan; Y. Liu,A Cooperative Edge Caching Approach Based on Multi-Agent Deep Reinforcement Learning,2023 26th International Conference on Computer Supported Cooperative Work in Design (CSCWD),2023,,,1772–1777,10.1109/CSCWD57460.2023.10152789,,2768-1904,,
23DV84I5,journalArticle,"Gomez, A.L.P.; Beltran, E.T.M.; Sanchez, P.M.S.; Celdran, A.H.",TemporalFED: A Software Module for Detecting Cyberattacks in Industry 4.0 Time-Series Data Using Decentralized Federated Learning,IEEE Access,2026,14,,64822–64835,10.1109/ACCESS.2026.3681545,,,https://www.scopus.com/pages/publications/105036228352?origin=resultslist,
29M56G7W,journalArticle,"Luo, W.; Yu, T.; Dai, S.; Guo, B.; Lin, X.; Pu, Y.",Semi-asynchronous energy-efficient federated prototype learning for end-edge-cloud architectures,Future Generation Computer Systems,2026,179,,,10.1016/j.future.2025.108351,,,https://www.scopus.com/pages/publications/105027136664?origin=resultslist,
